,alg,cluster,Ontology1,FL1,Ontology2,FL2,OverlappedGenes,NoOverlappedGenes
0,infomap,222,Trubetskoy2022broadcoding,True,SynGO,synaptic vesicle endocytosis (GO:0048488),{'6622'},1
1,infomap,222,Trubetskoy2022broadcoding,True,SynGO,synaptic vesicle membrane (GO:0030672),{'6622'},1
2,infomap,19,Trubetskoy2022broadcoding,True,SynGO,structural constituent of postsynaptic density (GO:0098919),{' 85358'},1
3,infomap,19,Trubetskoy2022broadcoding,True,SynGO,integral component of presynaptic membrane (GO:0099056),{' 2903'},1
4,infomap,19,Trubetskoy2022broadcoding,True,SynGO,"postsynaptic density, intracellular component (GO:0099092)",{' 85358'},1
5,infomap,19,Trubetskoy2022broadcoding,True,SynGO,modulation of chemical synaptic transmission (GO:0050804),"{'9228', ' 85358'}",2
6,infomap,19,Trubetskoy2022broadcoding,True,SynGO,postsynaptic density (GO:0014069),"{' 9758', ' 85358', ' 8525'}",3
7,infomap,19,Trubetskoy2022broadcoding,True,SynGO,regulation of postsynaptic neurotransmitter receptor activity (GO:0098962),{'9228'},1
8,infomap,19,Trubetskoy2022broadcoding,True,SynGO,integral component of postsynaptic specialization membrane (GO:0099060),{' 3745'},1
9,infomap,14,Trubetskoy2022broadcoding,True,SynGO,extrinsic component of presynaptic active zone membrane (GO:0098891),{' 9162'},1
10,sgG1,30,Trubetskoy2022broadcoding,False,SynGO,postsynaptic SER,"{'5663', ' 5332'}",2
11,sgG2,5,Trubetskoy2022broadcoding,True,SynGO,extrinsic component of presynaptic active zone membrane (GO:0098891),{' 9162'},1
12,spectral,13,Trubetskoy2022broadcoding,True,SynGO,extrinsic component of presynaptic active zone membrane (GO:0098891),{' 9162'},1
13,spectral,3,Trubetskoy2022broadcoding,True,SynGO,trans-synaptic signaling by trans-synaptic complex (GO:0099545),{'11141'},1
14,spectral,3,Trubetskoy2022broadcoding,True,SynGO,regulation of presynapse assembly (GO:1905606),{'11141'},1
15,spectral,3,Trubetskoy2022broadcoding,True,SynGO,regulation of postsynapse organization (GO:0099175),{'11141'},1
16,spectral,3,Trubetskoy2022broadcoding,True,SynGO,integral component of postsynaptic density membrane (GO:0099061),{'11141'},1
17,wt,15,Trubetskoy2022broadcoding,True,SynGO,postsynaptic actin cytoskeleton organization (GO:0098974),{' 9758'},1
18,wt,278,Trubetskoy2022broadcoding,True,SynGO,intracellular cAMP-activated cation channel activity involved in regulation of presynaptic membrane potential (GO:0140232),{'348980'},1
19,wt,278,Trubetskoy2022broadcoding,True,SynGO,regulation of postsynaptic membrane potential (GO:0060078),{'348980'},1
20,wt,278,Trubetskoy2022broadcoding,True,SynGO,integral component of presynaptic active zone membrane (GO:0099059),{'348980'},1
21,wt,278,Trubetskoy2022broadcoding,True,SynGO,integral component of postsynaptic membrane (GO:0099055),{'348980'},1
22,wt,347,Trubetskoy2022broadcoding,True,SynGO,regulation of synapse disassembly (GO:1905806),{'577'},1
23,wt,347,Trubetskoy2022broadcoding,True,SynGO,regulation of synapse maturation (GO:0090128),{'577'},1
24,wt,347,Trubetskoy2022broadcoding,True,SynGO,integral component of postsynaptic density membrane (GO:0099061),{'577'},1
25,wt,797,Trubetskoy2022broadcoding,True,SynGO,regulation of postsynaptic density assembly (GO:0099151),{'94030'},1
26,wt,797,Trubetskoy2022broadcoding,True,SynGO,regulation of presynapse assembly (GO:1905606),{'94030'},1
27,wt,797,Trubetskoy2022broadcoding,True,SynGO,synapse adhesion between pre- and post-synapse (GO:0099560),{'94030'},1
28,wt,797,Trubetskoy2022broadcoding,True,SynGO,integral component of postsynaptic density membrane (GO:0099061),{'94030'},1
29,wt,817,Trubetskoy2022broadcoding,True,SynGO,"regulation of translation at synapse, modulating synaptic transmission (GO:0099547)",{'64506'},1
